"bucket","total","totalresp","Cumresp","Gain","Cumlift"
1,2096,159,159,17.2826086956522,1.72826086956522
2,2096,160,319,34.6739130434783,1.73369565217391
3,2096,146,465,50.5434782608696,1.68478260869565
4,2096,104,569,61.8478260869565,1.54619565217391
5,2096,112,681,74.0217391304348,1.4804347826087
6,2096,80,761,82.7173913043478,1.3786231884058
7,2096,48,809,87.9347826086957,1.25621118012422
8,2096,42,851,92.5,1.15625
9,2095,38,889,96.6304347826087,1.07367149758454
10,2095,31,920,100,1
